,sentence
111,"За задержку ввода в эксплуатацию энергоблока Зарамагской ГЭС-1 в Северной Осетии в августе наблюдательный совет ассоциации НП «Совет рынка» (регулятор рынков электроэнергии в РФ) принял решение оштрафовать компанию «РусГидро», сообщает РИА Новости."
98,"Он напомнил, что в первый раз сроки переноса были связаны с задержкой поставки основного оборудования по независящим от компании причинам, из-за чего сроки строительства ТЭЦ изначально были существенно сдвинуты."
313,Деньги были выплачены по решению суда в связи с невыполнением обязательств по сдаче жилых комплексов в Парголово и Шушарах.
137,"В Сургуте компания «ДЭП», принадлежащая Копайгоре, строит два многоквартирных дома, где есть проблемы с задержками сроков их сдачи в эксплуатацию."
57,"«Ряд проектов не были завершены в срок», — подтверждает другой акционер Роман Рябов."
122,Строительство школы вскоре было приостановлено из-за невыполнения подрядчиком графика работ.
35,"Сроки ввода домов в эксплуатацию переносились несколько раз, судя по последним изменениям в проектной декларации, процедура была перенесена с первого на третий квартал 2019 года."
305,"Данное изменение необходимо для того, чтобы полностью снять с ТПЭ штрафные санкции за несоблюдение сроков ввода в эксплуатацию двух тепловых электростанций."
23,"Наблюдательный совет Совета рынка принял решение, как и месяцем ранее, оштрафовать компании «Квадра» и «РусГидро» за задержку ввода в эксплуатацию энергоблоков Воронежской ТЭЦ-1 и Зарамагской ГЭС-1 соответственно, говорится в сообщении ассоциации."
165,В то же время БЗС совместно с «Росатомом» и судостроительной корпорацией направили в правительство РФ обращение о необходимости переноса сроков сдачи головного ледокола «Арктика» с декабря 2017 года на декабрь 2018 года.
319,"Им также было отправлено дополнительное соглашение для подписания с пояснением, что застройщик не соблюдает сроки."
245,"При этом в соглашении между «Стройградами» сроком сдачи второго корпуса жилого комплекса был указан не март 2017 года, а 2018 год — строительство затянулось на целый год."
16,"Наблюдательный совет Ассоциации «НП Совет рынка» (регулятор рынков электроэнергии и газа в РФ) принял решение, как и месяцем ранее, оштрафовать компании «Квадра» и «РусГидро» за задержку ввода в эксплуатацию энергоблоков Воронежской ТЭЦ-1 и Зарамагской ГЭС-1 соответственно, говорится в сообщении ассоциации."
280,В августе этого года глава администрации Пензы Виктор Кувайцев выразил обеспокоенность сроками завершения строительства одного из зданий.
178,К нам обратился житель Аликовского района по поводу задержки сдачи в эксплуатацию построенной дороги в районе села Сормпос-Мочей.
261,"По данным консалтинговой компании CBRE, в период с апреля по июнь 2019 года введено в эксплуатацию менее трети от запланированного объема таких лотов. В Москве во втором квартале 2019 года введено в эксплуатацию всего 30% от запланированного объема офисной недвижимости."
256,"С другой стороны, очевидно, что несоблюдение сроков строительства негативно влияет на реализацию и в конечном итоге бьет по застройщику — получается замкнутый круг."
196,"Работы на части из них завершены, однако по ряду технических причин объекты не могут быть приняты в эксплуатацию."
121,Первые два корпуса жилого комплекса «Созвездие» были сданы с опозданием в 2015 и 2016 годах
72,В пресс-службе строительной компании «Унистрой» прокомментировали «Инказану» данные Единого реестра застройщиков (ЕРЗ) о задержках сроков ввода объектов в эксплуатацию.
318,"Юрист РОО «Комитет по защите прав потребителей Республики Татарстан» Айгуль Гильванова рассказала, что ее клиенты, являющиеся акционерами «Цезаря», уже смогли получить неустойку за первую переноску срока."
5,"Строительство ее завершающего участка — северного обхода Твери — запланировано не ранее 2021 года. Первоначально строительство трассы планировалось завершить к началу чемпионата мира по футболу 2018 года, однако сроки неоднократно переносились."
251,"Сроки реализации программы развития перинатальных центров (современных родильных домов) в России сорваны «Ростехом» на два года, пришла к выводу Счетная палата."
125,Дом №2 еще не сдан в эксплуатацию.
119,"В Минкультуры также пояснили, что основными причинами задержки ввода объектов в эксплуатацию являются банкротство и неплатежеспособность генеральных подрядчиков, разработка индивидуальных проектных решений, одновременное решение задачи как сохранения уникальности объекта культуры, так и придания ему новых современных требований с использованием новейших технологий, а также быстрое устаревание технологического оборудования и дополнительные объемы работ, не предусмотренные проектом."
71,Ситуацию с задержкой ввода объекта в эксплуатацию обсудили в четверг на «Воспитательном часе» в правительстве республики.
131,Суд обязал ООО «Тин Групп» выплатить более 50 участникам долевого строительства штраф за нарушение сроков передачи объектов строительства на общую сумму более 5 млн рублей.
233,"Дольщики жалуются на срыв сроков строительства дома по адресу Павловский тракт, 291 в Барнауле (жилой комплекс «Олимпийский»)."
78,"Строительство дома № 19 по улице Ленина по программе переселения из ветхого, аварийного жилья идет с отставанием от графика. Об этом стало известно на выездном совещании, состоявшемся на строительной площадке 6 июля, сообщает корреспондент «ЭВ»."
56,Дольщики второй очереди жилого комплекса «Архимед» в Сергиевом Посаде пожаловались altgazeta.ru на задержку ввода своего дома в эксплуатацию.
157,"Задержка в сдаче домов произошла из-за того, что нас не обошли стороной экономические трудности в стране: в определенный момент финансирование и банковское кредитование были приостановлены."
324,"Предпринимательница взыскала с «Интеко» 1,5 млн за несвоевременную сдачу квартиры стоимостью 58 млн рублей"
253,"Балтийский завод — Судостроение (БЗС), входящий в Объединенную судостроительную корпорацию и с 2012 года строящий по заказу «Росатома» три атомных ледокола для Северного морского пути на 123 млрд рублей, прекратил выплаты подрядчикам и начал судиться с ними, требуя выплатить неустойку за неисполнение обязательств в срок."
179,"С другой стороны, если признать, что Низовский сейчас прав, то ввод в эксплуатацию даже при самых благоприятных обстоятельствах займет около двух лет."
271,"Строительство центров должно было быть завершено в декабре 2016 года, затем срок сдачи был перенесен на декабрь 2017 года, но фактически оно было завершено в 2018 году."
96,"Представители «Тюменьэнергостроя» (ТЭС) объяснили дольщикам, почему был сорван срок сдачи в эксплуатацию здания ГП-2 в жилом комплексе «Славутич», запланированный на IV квартал 2018 года."
288,"– Затягиваются работы по подключению наружных тепловых сетей, облицовке и благоустройству."
205,"В Югре возбуждено уголовное дело в отношении влиятельного сургутского бизнесмена Андрея Копайгоры по факту мошеннических действий, приведших к срыву сроков сдачи домов."
326,Трутнев раскритиковал срыв сроков завершения проектов в Комсомольске-на-Амуре.
234,"Перенос ввода в эксплуатацию газопровода «Северный поток — 2» на срок до восьми месяцев увеличит бюджет проекта на 660 миллионов евро, сообщает Reuters."
231,"Он уточнил, что всего в этом году в городе будет введено в эксплуатацию 7 тыс. квартир в 12 долгостроях."
39,"— Степень готовности дома составляет 11%, застройщик в период с 2006 по 2008 год привлек средства граждан в размере 38 млн рублей, говорится в обращении, однако дом до сих пор не введен в эксплуатацию, — отмечает Юрий Пономарев."
210,"Территориальное управление Роспотребнадзора помогло жителям Имшима подать в суд на застройщика о возмещении морального вреда, полученного из-за задержки сдачи жилья."
168,Строительство международного морского пассажирского терминала с яхтенной стоянкой в ​​Пионерском Калининградской области существенно отстает от графика.
156,"— Насколько мне известно, завершение строительства торгового центра планировалось на первый квартал 2019 года."
164,"Ввод в эксплуатацию жилого комплекса «Европейский квартал» в Советском районе Нижнего Новгорода откладывается уже в пятый раз, а само строительство фактически остановлено."
195,Перенос даты ввода в эксплуатацию АЭС Ханхикиви в Финляндии с 2024 на 2028 год экономически выгоден финской стороне.
17,"Стоит отметить, что любой строящийся многоквартирный дом теперь считается долгостроем, если срок окончания его строительства просрочен более чем на шесть месяцев, передача имущества дольщику просрочена более чем на шесть месяцев или застройщик признан банкротом."
34,Вчера руководство ООО «Кока-Кола ЭйчБиСи Евразия» (дочернее предприятие концерна Coca-Cola) объявило о переносе сроков запуска завода по производству прохладительных напитков в Ростовской области.
19,"В поселке городского типа Чкаловское три из четырех мини-котельных не удалось ввести в эксплуатацию в течение года, поскольку не нашлось 6 млн грн на завершение строительства."
186,"Строительство двух жилых домов № 6 и № 55 в настоящее время не завершено, сроки ввода в эксплуатацию перенесены."
126,"Как пояснил начальник отдела строительного надзора Геннадий Наумов, существенные задержки в строительстве спортзала связаны с недобросовестностью подрядчиков, а также проволочками заказчика — МБУ «Строитель»."
48,Возможная и приемлемая задержка ввода в эксплуатацию нового здания составляет 2–3 месяца.
279,"У нас есть еще три компании, которые ведут комплексную застройку микрорайонов, где сроки ввода в эксплуатацию отстают."
217,"Новая школа в Красном Аксае на 1100 мест не сможет принять учеников сразу из-за задержек с вводом объекта в эксплуатацию и оформлением документации, сообщила начальник департамента образования Ростовской области Виктория Чернышева."
1,"По данным Генпрокуратуры РФ, в 2014–2018 годах было выявлено 17 тысяч различных нарушений — хищения бюджетных средств, задержки строительства, невыплаты заработной платы и другие факты, имевшие место при возведении космодрома."
108,"Открытие взлетно-посадочной полосы было запланировано на 1 сентября, однако 30 августа Шереметьево объявило о переносе запуска на более поздний срок, не уточнив причину переноса и новую дату запуска."
225,Строительная компания «Ленстройтрест» задерживает ввод в эксплуатацию жилого комплекса «IQ Гатчина» на четверть.
115,"«Васильково» был введен в эксплуатацию еще в июне 2015 года, с опозданием на целых пять лет."
74,"Новая школа в Красном Аксае на 1100 мест не сможет принять учеников сразу из-за задержек с вводом объекта в эксплуатацию и оформлением документации, сообщила руководитель департамента образования Ростова Виктория Чернышева."
127,Первая очередь проекта была введена в эксплуатацию с опозданием почти на полгода.
327,"Глава австрийской OMV Райнер Зеле заявил, что не исключает срыва сроков запуска «Северного потока — 2» из-за позиции Дании, которая затягивает одобрение проекта."
283,Срок сдачи сдвинулся на четверть по объективным причинам – осенью произошло неоднократное затопление котлована.
103,ООО «ВТУС» заплатит почти 400 тысяч рублей за задержку сдачи дома
